AU01_r_max,AU02_r_max,AU04_r_max,AU05_r_max,AU06_r_max,AU07_r_max,AU09_r_max,AU10_r_max,AU12_r_max,AU14_r_max,AU15_r_max,AU17_r_max,AU20_r_max,AU23_r_max,AU25_r_max,AU26_r_max,AU45_r_max,AU01_r_min,AU02_r_min,AU04_r_min,AU05_r_min,AU06_r_min,AU07_r_min,AU09_r_min,AU10_r_min,AU12_r_min,AU14_r_min,AU15_r_min,AU17_r_min,AU20_r_min,AU23_r_min,AU25_r_min,AU26_r_min,AU45_r_min,AU01_r_mean,AU02_r_mean,AU04_r_mean,AU05_r_mean,AU06_r_mean,AU07_r_mean,AU09_r_mean,AU10_r_mean,AU12_r_mean,AU14_r_mean,AU15_r_mean,AU17_r_mean,AU20_r_mean,AU23_r_mean,AU25_r_mean,AU26_r_mean,AU45_r_mean,AU01_r_sd,AU02_r_sd,AU04_r_sd,AU05_r_sd,AU06_r_sd,AU07_r_sd,AU09_r_sd,AU10_r_sd,AU12_r_sd,AU14_r_sd,AU15_r_sd,AU17_r_sd,AU20_r_sd,AU23_r_sd,AU25_r_sd,AU26_r_sd,AU45_r_sd,type
1.6,1.31,0.71,0.95,0.56,0.76,1.84,0.55,0.07,1.5,0.0,0.86,0.26,1.24,0.68,0.0,0.0,0.01,0.0,0.16,0.0,0.12,0.03,1.21,0.0,0.0,0.9,0.0,0.39,0.0,0.24,0.0,0.0,0.0,0.823913043478261,0.3839130434782609,0.3760869565217391,0.5452173913043478,0.31782608695652176,0.41478260869565203,1.5539130434782609,0.15173913043478263,0.0030434782608695656,1.2313043478260872,0.0,0.6156521739130435,0.011304347826086957,0.7856521739130435,0.0917391304347826,0.0,0.0,0.4908965742804855,0.43339819115319533,0.1525760356029616,0.27092215529418967,0.10962566561378236,0.20856369345897433,0.1555266457858817,0.17335334839341723,0.014596008983995235,0.14979696403726817,0.0,0.12734441797940668,0.054213747654839425,0.30786399132433495,0.20017383749479176,0.0,0.0,up
0.92,0.63,1.42,3.44,0.93,1.66,1.2,2.19,1.22,2.13,2.73,4.75,1.26,1.68,0.77,1.09,1.01,0.0,0.0,0.0,0.14,0.0,0.0,0.22,0.0,0.0,0.26,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.38260869565217387,0.08130434782608696,0.7856521739130435,0.9456521739130435,0.2508695652173913,0.3008695652173913,0.7752173913043477,0.4813043478260869,0.22130434782608696,1.5426086956521738,0.3126086956521739,1.2108695652173913,0.21304347826086958,0.7073913043478263,0.09391304347826088,0.4,0.15608695652173912,0.25655439599189644,0.17126015159893934,0.4220386247614238,0.8696541950524541,0.31585256980085247,0.5964357242172283,0.2817134192630613,0.7053194269769876,0.39159701396189617,0.483051073822374,0.812690354715879,1.151149279646919,0.4002435029579856,0.3816378267808886,0.21904211156833794,0.36277967267901184,0.3494117020785181,up
1.2,0.0,1.35,0.87,0.0,0.0,0.0,0.18,0.0,0.4,0.78,0.03,0.96,0.75,0.0,0.0,0.0,0.59,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.34,0.25,0.0,0.0,0.0,0.8630434782608695,0.0,1.0156521739130433,0.4404347826086956,0.0,0.0,0.0,0.015217391304347825,0.0,0.15956521739130433,0.5882608695652175,0.002173913043478261,0.6982608695652174,0.477391304347826,0.0,0.0,0.0,0.16046621798566985,0.0,0.19614062874646673,0.2946103476067941,0.0,0.0,0.0,0.04367957346792572,0.0,0.1205848724444762,0.11876838322447157,0.007358681786057778,0.1804955847839005,0.12649891811626288,0.0,0.0,0.0,up
1.21,0.0,1.96,0.84,0.0,0.0,0.0,0.0,0.0,0.07,0.59,0.0,0.79,0.57,0.0,0.0,0.0,0.62,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.11,0.22,0.0,0.0,0.0,0.9660869565217394,0.0,1.567826086956522,0.3247826086956522,0.0,0.0,0.0,0.0,0.0,0.008695652173913044,0.4369565217391304,0.0,0.45956521739130435,0.3886956521739131,0.0,0.0,0.0,0.14427685287903894,0.0,0.20106436151231707,0.25935005416017437,0.0,0.0,0.0,0.0,0.0,0.020955439264845034,0.08823701463098205,0.0,0.14800117508346666,0.10502399499967471,0.0,0.0,0.0,up
1.34,0.0,2.2,0.85,0.0,0.0,0.0,0.0,0.0,0.15,0.64,0.12,0.72,0.68,0.0,0.0,0.0,0.68,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.33,0.24,0.0,0.0,0.0,0.9221739130434782,0.0,1.7965217391304344,0.2595652173913044,0.0,0.0,0.0,0.0,0.0,0.014782608695652172,0.48304347826086963,0.008695652173913044,0.523913043478261,0.3769565217391304,0.0,0.0,0.0,0.18520152467807335,0.0,0.17520400305856898,0.2548346747647396,0.0,0.0,0.0,0.0,0.0,0.03715686223387537,0.067516649974028,0.028333139579280173,0.12808871678484773,0.11319471488660976,0.0,0.0,0.0,up
1.24,0.0,1.56,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.71,0.5,0.0,0.0,0.0,0.75,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.13,0.0,0.0,0.0,0.0,0.9934782608695649,0.0,1.2486956521739128,0.33695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.5795652173913044,0.0,0.4086956521739131,0.2730434782608695,0.0,0.0,0.0,0.1273723494916372,0.0,0.18740583933431956,0.21357210369863588,0.0,0.0,0.0,0.0,0.0,0.0,0.08818772646357445,0.0,0.12718291579904215,0.11494800336787442,0.0,0.0,0.0,up
1.3,0.14,1.41,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.27,0.71,0.58,0.0,0.0,0.0,0.71,0.0,0.72,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.03,0.0,0.0,0.0,0.9295652173913043,0.02043478260869565,1.0495652173913044,0.7395652173913042,0.0,0.0,0.0,0.0,0.0,0.0,0.6943478260869564,0.04,0.3982608695652175,0.28217391304347833,0.0,0.0,0.0,0.14913320040303096,0.04106295176804924,0.19224695909332976,0.22249572541081986,0.0,0.0,0.0,0.0,0.0,0.0,0.09375141632658732,0.06487750695804294,0.1483745927133276,0.13731041547394887,0.0,0.0,0.0,up
1.16,0.03,1.6,0.94,0.0,0.0,0.0,0.16,0.0,0.28,0.81,0.46,0.58,0.79,0.0,0.0,0.0,0.65,0.0,0.88,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.13,0.26,0.0,0.0,0.0,0.9100000000000001,0.0013043478260869564,1.2078260869565216,0.5121739130434783,0.0,0.0,0.0,0.010869565217391304,0.0,0.041739130434782605,0.6391304347826088,0.12391304347826088,0.37391304347826093,0.5573913043478259,0.0,0.0,0.0,0.13885898668007834,0.006255432421712241,0.2000899007432575,0.2269953247764273,0.0,0.0,0.0,0.03449809526734917,0.0,0.08515505504202017,0.09462428303935234,0.12673304550169376,0.1347974618871783,0.15763067858142182,0.0,0.0,0.0,up
1.17,0.0,1.63,1.07,0.0,0.0,0.0,0.12,0.0,0.11,0.78,0.22,1.0,0.84,0.0,0.0,0.0,0.63,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.18,0.27,0.0,0.0,0.0,0.8891304347826087,0.0,1.267391304347826,0.5017391304347827,0.0,0.0,0.0,0.015217391304347825,0.0,0.009130434782608696,0.5630434782608695,0.05434782608695652,0.4034782608695653,0.6,0.0,0.0,0.0,0.13839709151825216,0.0,0.1916961940937783,0.2716390013152992,0.0,0.0,0.0,0.035658680597805144,0.0,0.026442569583268717,0.09177218743906991,0.07572834745784206,0.19080234169642138,0.1304885923261981,0.0,0.0,0.0,up
1.12,0.0,1.8,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.19,0.54,0.58,0.0,0.0,0.0,0.79,0.0,1.2,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.08,0.24,0.0,0.0,0.0,0.9339130434782609,0.0,1.4552173913043478,0.6678260869565217,0.0,0.0,0.0,0.0,0.0,0.0,0.5647826086956521,0.019130434782608695,0.3160869565217391,0.4178260869565218,0.0,0.0,0.0,0.0945197973699778,0.0,0.14668672757761975,0.2939226323949758,0.0,0.0,0.0,0.0,0.0,0.0,0.07210280319966077,0.046895729935315086,0.13610621288453642,0.07476973875835126,0.0,0.0,0.0,up
