key,predict,All
AI_FINISH,13,13
FINISH,10,10
LEFT_TO_RIGHT,7,7
P_FINISH,13,13
RIGHT_TO_LEFT,19,19
SHOT,163,163
UNKNOWN,16,16
All,241,241
