,player_id,mode,frame_number,signal_type,num_code,key
0,5fc9a415aacaf14df94e6868,1,371,up,1,1
1,5fc9a415aacaf14df94e6868,1,599,down,2,2
2,5fc9a415aacaf14df94e6868,1,599,down,18,18
3,5fc9a415aacaf14df94e6868,1,1211,down,2,2
4,5fc9a415aacaf14df94e6868,1,1211,down,5,5
5,5fc9a415aacaf14df94e6868,1,1211,down,18,18
6,5fc9a415aacaf14df94e6868,1,2028,up,1,1
7,5fc9a415aacaf14df94e6868,2,636,up,1,1
8,5fc9a415aacaf14df94e6868,2,2087,up,1,1
9,60fdbe65ebde43c719f0a07c,1,65,down,999,999
10,60fdbe65ebde43c719f0a07c,1,470,up,1,1
11,60fdbe65ebde43c719f0a07c,1,1188,down,2,2
12,60fdbe65ebde43c719f0a07c,1,1188,down,5,5
13,60fdbe65ebde43c719f0a07c,1,1188,down,18,18
14,60fdbe65ebde43c719f0a07c,1,2037,up,1,1
15,60fdbe65ebde43c719f0a07c,1,2037,up,7,7
16,60fdbe65ebde43c719f0a07c,1,2037,up,9,9
17,60fdbe65ebde43c719f0a07c,2,1007,down,999,999
18,60fdbe65ebde43c719f0a07c,2,1259,up,1,1
19,60fdbe65ebde43c719f0a07c,2,1551,up,1,1
20,60fdbe65ebde43c719f0a07c,2,1551,up,7,7
21,60feed8e976bc867f41f91f8,1,301,up,1,1
22,60feed8e976bc867f41f91f8,1,524,up,1,1
23,60feed8e976bc867f41f91f8,1,890,up,1,1
24,60feed8e976bc867f41f91f8,1,1249,up,2,2
25,60feed8e976bc867f41f91f8,1,1249,up,1,1
26,60feed8e976bc867f41f91f8,1,1463,up,1,1
27,60feed8e976bc867f41f91f8,1,1786,up,3,3
28,60feed8e976bc867f41f91f8,1,1786,up,1,1
29,60feed8e976bc867f41f91f8,1,2274,down,12,12
30,60feed8e976bc867f41f91f8,1,2497,down,5,5
31,60feed8e976bc867f41f91f8,1,2497,down,12,12
32,60feed8e976bc867f41f91f8,1,2914,up,999,999
33,60feed8e976bc867f41f91f8,2,186,up,1,1
34,60feed8e976bc867f41f91f8,2,721,up,1,1
35,60feed8e976bc867f41f91f8,2,1037,down,5,5
36,60feed8e976bc867f41f91f8,2,1165,up,1,1
37,60feed8e976bc867f41f91f8,2,1397,up,1,1
38,60feed8e976bc867f41f91f8,2,1813,down,5,5
39,60feed8e976bc867f41f91f8,2,1813,down,12,12
40,60feed8e976bc867f41f91f8,2,1971,up,1,1
41,60feed8e976bc867f41f91f8,2,2146,up,1,1
42,60feed8e976bc867f41f91f8,2,2274,up,1,1
43,61017fa8773be3bcfb745b82,1,152,up,1,1
44,61017fa8773be3bcfb745b82,1,841,up,2,2
45,61017fa8773be3bcfb745b82,1,841,up,1,1
46,61017fa8773be3bcfb745b82,1,1327,up,1,1
47,61017fa8773be3bcfb745b82,1,1945,up,1,1
48,61017fa8773be3bcfb745b82,1,2248,down,2,2
49,61017fa8773be3bcfb745b82,1,2248,down,14,14
50,61017fa8773be3bcfb745b82,1,2248,down,18,18
51,61017fa8773be3bcfb745b82,1,2359,down,14,14
52,61017fa8773be3bcfb745b82,1,2359,down,18,18
53,61017fa8773be3bcfb745b82,1,2460,up,3,3
54,61017fa8773be3bcfb745b82,1,2460,up,1,1
55,61017fa8773be3bcfb745b82,1,2460,up,8,8
56,61017fa8773be3bcfb745b82,1,2650,up,3,3
57,61017fa8773be3bcfb745b82,1,2650,up,1,1
58,61017fa8773be3bcfb745b82,2,207,up,1,1
59,61017fa8773be3bcfb745b82,2,682,up,1,1
60,61017fa8773be3bcfb745b82,2,1202,up,1,1
61,61017fa8773be3bcfb745b82,2,1481,up,1,1
62,61017fa8773be3bcfb745b82,2,2067,up,1,1
63,61017fa8773be3bcfb745b82,2,2067,up,7,7
64,61017fa8773be3bcfb745b82,2,2504,up,8,8
65,61017fa8773be3bcfb745b82,2,2504,up,9,9
66,6107f6bdc8e5d4c5b8daf4c1,1,480,up,1,1
67,6107f6bdc8e5d4c5b8daf4c1,1,678,up,2,2
68,6107f6bdc8e5d4c5b8daf4c1,1,1255,up,2,2
69,6107f6bdc8e5d4c5b8daf4c1,1,1255,up,1,1
70,6107f6bdc8e5d4c5b8daf4c1,1,1638,up,1,1
71,6107f6bdc8e5d4c5b8daf4c1,1,1638,up,8,8
72,6107f6bdc8e5d4c5b8daf4c1,2,70,up,1,1
73,6107f6bdc8e5d4c5b8daf4c1,2,392,up,1,1
74,6107f6bdc8e5d4c5b8daf4c1,2,697,up,1,1
75,6107f6bdc8e5d4c5b8daf4c1,2,991,up,1,1
76,6107f6bdc8e5d4c5b8daf4c1,2,1348,up,1,1
77,6107f6bdc8e5d4c5b8daf4c1,2,1685,up,1,1
78,6107f6bdc8e5d4c5b8daf4c1,2,2359,up,1,1
79,6107f8f9c8d6e8a294ff1dd6,1,2347,down,5,5
80,6107f8f9c8d6e8a294ff1dd6,1,2347,down,14,14
81,6107f8f9c8d6e8a294ff1dd6,1,2347,down,18,18
82,6107f8f9c8d6e8a294ff1dd6,1,3099,up,1,1
83,6107f8f9c8d6e8a294ff1dd6,2,48,up,1,1
84,6107f8f9c8d6e8a294ff1dd6,2,438,down,999,999
85,6107f8f9c8d6e8a294ff1dd6,2,624,up,1,1
86,6107f8f9c8d6e8a294ff1dd6,2,930,down,999,999
87,6107f8f9c8d6e8a294ff1dd6,2,1486,up,1,1
88,6107f8f9c8d6e8a294ff1dd6,2,1927,up,1,1
89,6107f8f9c8d6e8a294ff1dd6,2,2379,down,12,12
90,6107f8f9c8d6e8a294ff1dd6,2,3183,up,1,1
91,6107f8f9c8d6e8a294ff1dd6,2,3183,up,7,7
92,6107f8f9c8d6e8a294ff1dd6,2,3183,up,9,9
93,610837720098e4d537f6d50b,1,88,up,1,1
94,610837720098e4d537f6d50b,1,379,up,1,1
95,610837720098e4d537f6d50b,1,771,down,2,2
96,610837720098e4d537f6d50b,1,1453,up,3,3
97,610837720098e4d537f6d50b,1,1453,up,1,1
98,610837720098e4d537f6d50b,1,1782,up,1,1
99,610837720098e4d537f6d50b,1,2439,up,1,1
100,610837720098e4d537f6d50b,1,2555,up,1,1
101,610837720098e4d537f6d50b,1,2746,up,1,1
102,610837720098e4d537f6d50b,1,3006,down,4,4
103,610837720098e4d537f6d50b,1,3006,down,5,5
104,610837720098e4d537f6d50b,1,3006,down,14,14
105,610837720098e4d537f6d50b,1,3006,down,18,18
106,610837720098e4d537f6d50b,2,90,up,1,1
107,610837720098e4d537f6d50b,2,265,up,1,1
108,610837720098e4d537f6d50b,2,465,up,1,1
109,610837720098e4d537f6d50b,2,773,up,1,1
110,610837720098e4d537f6d50b,2,902,up,1,1
111,610837720098e4d537f6d50b,2,1140,up,1,1
112,610837720098e4d537f6d50b,2,1338,up,1,1
113,610837720098e4d537f6d50b,2,1470,up,1,1
114,610837720098e4d537f6d50b,2,1586,up,1,1
115,610837720098e4d537f6d50b,2,1696,up,1,1
116,610837720098e4d537f6d50b,2,1696,up,7,7
117,610837720098e4d537f6d50b,2,2134,up,2,2
118,610837720098e4d537f6d50b,2,2134,up,1,1
119,610837720098e4d537f6d50b,2,2239,up,1,1
120,610837720098e4d537f6d50b,2,2469,up,999,999
121,610837720098e4d537f6d50b,2,2606,up,1,1
122,610837720098e4d537f6d50b,2,2763,up,1,1
123,610837720098e4d537f6d50b,2,2882,down,4,4
124,610837720098e4d537f6d50b,2,3017,up,1,1
125,610837720098e4d537f6d50b,2,3162,up,1,1
126,61083d0cd5238a0405e40d81,1,114,up,1,1
127,61083d0cd5238a0405e40d81,1,845,up,999,999
128,61083d0cd5238a0405e40d81,1,1901,up,1,1
129,61083d0cd5238a0405e40d81,1,2004,up,1,1
130,61083d0cd5238a0405e40d81,1,2342,up,1,1
131,61083d0cd5238a0405e40d81,1,3091,up,1,1
132,61083d0cd5238a0405e40d81,2,1545,up,1,1
133,61083d0cd5238a0405e40d81,2,3100,up,2,2
134,61083d0cd5238a0405e40d81,2,3100,up,1,1
135,61083d0cd5238a0405e40d81,2,3238,up,1,1
136,61083d0cd5238a0405e40d81,2,3238,up,8,8
137,61083d0cd5238a0405e40d81,2,3238,up,9,9
138,61084126f133c28acb14c15b,1,494,up,1,1
139,61084126f133c28acb14c15b,2,149,up,1,1
140,61084126f133c28acb14c15b,2,557,up,1,1
141,61084126f133c28acb14c15b,2,1202,up,1,1
142,61084126f133c28acb14c15b,2,2074,up,1,1
143,61084126f133c28acb14c15b,2,2074,up,7,7
144,6108444b19662154fc782bb5,1,156,down,15,15
145,6108444b19662154fc782bb5,1,156,down,5,5
146,6108444b19662154fc782bb5,1,358,up,999,999
147,6108444b19662154fc782bb5,2,339,down,5,5
148,6108444b19662154fc782bb5,2,613,down,15,15
149,6108444b19662154fc782bb5,2,613,down,5,5
150,6108444b19662154fc782bb5,2,856,down,4,4
151,6108444b19662154fc782bb5,2,856,down,15,15
152,6108444b19662154fc782bb5,2,856,down,5,5
153,6108444b19662154fc782bb5,2,856,down,12,12
154,61084b29eaf447617f3bf4a3,2,1484,down,4,4
155,61084b29eaf447617f3bf4a3,2,1484,down,5,5
156,61084b29eaf447617f3bf4a3,2,2131,down,15,15
157,61084b29eaf447617f3bf4a3,2,2131,down,5,5
158,61084b29eaf447617f3bf4a3,2,2131,down,12,12
159,6108519b1b1796459ad36a47,1,804,up,2,2
160,6108519b1b1796459ad36a47,1,804,up,3,3
161,6108519b1b1796459ad36a47,1,804,up,1,1
162,6108519b1b1796459ad36a47,1,2148,up,2,2
163,6108519b1b1796459ad36a47,1,2148,up,1,1
164,6108519b1b1796459ad36a47,2,1443,up,1,1
165,6108519b1b1796459ad36a47,2,2692,up,8,8
166,6108519b1b1796459ad36a47,2,2692,up,9,9
