player_id,mode,signal_type,frame_number
5fc9a415aacaf14df94e6868,1,up,371
5fc9a415aacaf14df94e6868,1,down,599
5fc9a415aacaf14df94e6868,1,down,1211
5fc9a415aacaf14df94e6868,1,up,2028
5fc9a415aacaf14df94e6868,2,up,636
5fc9a415aacaf14df94e6868,2,up,2087
60fdbe65ebde43c719f0a07c,1,down,65
60fdbe65ebde43c719f0a07c,1,up,470
60fdbe65ebde43c719f0a07c,1,down,1188
60fdbe65ebde43c719f0a07c,1,up,2037
60fdbe65ebde43c719f0a07c,2,down,1007
60fdbe65ebde43c719f0a07c,2,up,1259
60fdbe65ebde43c719f0a07c,2,up,1551
60feed8e976bc867f41f91f8,1,up,301
60feed8e976bc867f41f91f8,1,up,524
60feed8e976bc867f41f91f8,1,up,890
60feed8e976bc867f41f91f8,1,up,1249
60feed8e976bc867f41f91f8,1,up,1463
60feed8e976bc867f41f91f8,1,up,1786
60feed8e976bc867f41f91f8,1,down,2274
60feed8e976bc867f41f91f8,1,down,2497
60feed8e976bc867f41f91f8,1,up,2914
60feed8e976bc867f41f91f8,2,up,186
60feed8e976bc867f41f91f8,2,up,721
60feed8e976bc867f41f91f8,2,down,1037
60feed8e976bc867f41f91f8,2,up,1165
60feed8e976bc867f41f91f8,2,up,1397
60feed8e976bc867f41f91f8,2,down,1813
60feed8e976bc867f41f91f8,2,up,1971
60feed8e976bc867f41f91f8,2,up,2146
60feed8e976bc867f41f91f8,2,up,2274
61017fa8773be3bcfb745b82,1,up,152
61017fa8773be3bcfb745b82,1,up,841
61017fa8773be3bcfb745b82,1,up,1327
61017fa8773be3bcfb745b82,1,up,1945
61017fa8773be3bcfb745b82,1,down,2248
61017fa8773be3bcfb745b82,1,down,2359
61017fa8773be3bcfb745b82,1,up,2460
61017fa8773be3bcfb745b82,1,up,2650
61017fa8773be3bcfb745b82,2,up,207
61017fa8773be3bcfb745b82,2,up,682
61017fa8773be3bcfb745b82,2,up,1202
61017fa8773be3bcfb745b82,2,up,1481
61017fa8773be3bcfb745b82,2,up,2067
61017fa8773be3bcfb745b82,2,up,2504
6107f6bdc8e5d4c5b8daf4c1,1,up,480
6107f6bdc8e5d4c5b8daf4c1,1,up,678
6107f6bdc8e5d4c5b8daf4c1,1,up,1255
6107f6bdc8e5d4c5b8daf4c1,1,up,1638
6107f6bdc8e5d4c5b8daf4c1,2,up,70
6107f6bdc8e5d4c5b8daf4c1,2,up,392
6107f6bdc8e5d4c5b8daf4c1,2,up,697
6107f6bdc8e5d4c5b8daf4c1,2,up,991
6107f6bdc8e5d4c5b8daf4c1,2,up,1348
6107f6bdc8e5d4c5b8daf4c1,2,up,1685
6107f6bdc8e5d4c5b8daf4c1,2,up,2359
6107f8f9c8d6e8a294ff1dd6,1,down,2347
6107f8f9c8d6e8a294ff1dd6,1,up,3099
6107f8f9c8d6e8a294ff1dd6,2,up,48
6107f8f9c8d6e8a294ff1dd6,2,down,438
6107f8f9c8d6e8a294ff1dd6,2,up,624
6107f8f9c8d6e8a294ff1dd6,2,down,930
6107f8f9c8d6e8a294ff1dd6,2,up,1486
6107f8f9c8d6e8a294ff1dd6,2,up,1927
6107f8f9c8d6e8a294ff1dd6,2,down,2379
6107f8f9c8d6e8a294ff1dd6,2,up,3183
610837720098e4d537f6d50b,1,up,88
610837720098e4d537f6d50b,1,up,379
610837720098e4d537f6d50b,1,down,771
610837720098e4d537f6d50b,1,up,1453
610837720098e4d537f6d50b,1,up,1782
