player_id,mode,signal_type,frame_number
6108c66b12dd5a199f12a937,1,up,50
6108c66b12dd5a199f12a937,1,up,1443
6108c66b12dd5a199f12a937,1,up,1547
6108c66b12dd5a199f12a937,1,up,1776
6108c66b12dd5a199f12a937,1,up,2334
6108c66b12dd5a199f12a937,1,up,2447
6108c66b12dd5a199f12a937,1,up,2547
6108c66b12dd5a199f12a937,2,up,107
6108c66b12dd5a199f12a937,2,up,215
61096ca0999b16524e70304f,1,up,84
61096ca0999b16524e70304f,1,up,740
61096ca0999b16524e70304f,1,down,1148
61096ca0999b16524e70304f,1,up,1579
61096ca0999b16524e70304f,1,down,1824
61096ca0999b16524e70304f,1,up,2184
61096ca0999b16524e70304f,1,down,2795
61096ca0999b16524e70304f,1,up,3126
6109746d0c492f63aca8cddd,1,down,1046
6109746d0c492f63aca8cddd,1,up,1878
6109746d0c492f63aca8cddd,2,up,837
6109746d0c492f63aca8cddd,2,up,2233
6109746d0c492f63aca8cddd,2,up,2565
610999778e6142549b918cce,1,down,1590
610999778e6142549b918cce,2,up,319
610999778e6142549b918cce,2,up,852
610999778e6142549b918cce,2,up,1585
610999778e6142549b918cce,2,up,2925
610999778e6142549b918cce,2,up,3481
6109bd0d694d2a4ea75bacf1,1,up,891
6109bd0d694d2a4ea75bacf1,1,up,1790
6109bd0d694d2a4ea75bacf1,2,up,2325
6109bd72fa4cdd8f9585cc43,1,up,761
6109bd72fa4cdd8f9585cc43,1,up,1148
6109bd72fa4cdd8f9585cc43,1,up,1422
6109bd72fa4cdd8f9585cc43,1,up,2074
6109bd72fa4cdd8f9585cc43,2,up,424
6109bd72fa4cdd8f9585cc43,2,up,972
6109bd72fa4cdd8f9585cc43,2,down,2301
6109c3a7a0e6d2a434e2fd60,1,up,703
6109c3a7a0e6d2a434e2fd60,1,down,1075
6109c3a7a0e6d2a434e2fd60,1,up,1470
6109c3a7a0e6d2a434e2fd60,1,down,1993
6109c3a7a0e6d2a434e2fd60,1,down,2456
6109c3a7a0e6d2a434e2fd60,1,down,2746
6109c3a7a0e6d2a434e2fd60,2,up,166
6109c3a7a0e6d2a434e2fd60,2,up,448
6109c3a7a0e6d2a434e2fd60,2,up,892
6109c3a7a0e6d2a434e2fd60,2,down,1105
6109c3a7a0e6d2a434e2fd60,2,up,1499
6109c3a7a0e6d2a434e2fd60,2,up,2045
6109c3a7a0e6d2a434e2fd60,2,up,2388
6109c3a7a0e6d2a434e2fd60,2,up,2629
6109c3a7a0e6d2a434e2fd60,2,up,2889
610a58b6c0de3eaaf1c566a2,1,up,46
610a58b6c0de3eaaf1c566a2,1,up,308
610a58b6c0de3eaaf1c566a2,1,up,574
610a58b6c0de3eaaf1c566a2,1,down,1175
610a58b6c0de3eaaf1c566a2,1,up,1341
610a58b6c0de3eaaf1c566a2,1,down,1876
610a58b6c0de3eaaf1c566a2,2,up,146
610a58b6c0de3eaaf1c566a2,2,down,346
610a58b6c0de3eaaf1c566a2,2,down,581
610a58b6c0de3eaaf1c566a2,2,up,684
610a58b6c0de3eaaf1c566a2,2,up,981
610ad8111e76c155f89fa26d,1,up,556
610ad8111e76c155f89fa26d,1,up,1281
610ad8111e76c155f89fa26d,2,up,597
610ae121a29b11dc55916f3e,1,up,434
610ae121a29b11dc55916f3e,1,up,877
610ae121a29b11dc55916f3e,1,up,1499
610ae121a29b11dc55916f3e,1,up,2033
610ae121a29b11dc55916f3e,1,down,2136
610ae121a29b11dc55916f3e,2,up,331
610ae121a29b11dc55916f3e,2,up,524
610ae121a29b11dc55916f3e,2,up,927
610ae121a29b11dc55916f3e,2,up,1373
610ae121a29b11dc55916f3e,2,up,1493
610ae121a29b11dc55916f3e,2,up,2066
610ae121a29b11dc55916f3e,2,up,2429
610ae121a29b11dc55916f3e,2,up,2943
610ae121a29b11dc55916f3e,2,up,3071
610ae91ba2b28abc2bfdb685,1,up,661
610ae91ba2b28abc2bfdb685,1,up,1169
610ae91ba2b28abc2bfdb685,1,up,1959
610ae91ba2b28abc2bfdb685,1,up,2180
610ae91ba2b28abc2bfdb685,1,down,2671
610aebd03f7daffc2fcce4b9,2,up,434
610aebd03f7daffc2fcce4b9,2,up,536
610aebd03f7daffc2fcce4b9,2,up,1204
610aebd03f7daffc2fcce4b9,2,up,1952
610aebd03f7daffc2fcce4b9,2,up,2186
