,player_id,mode,signal_type,frame_number,num_code
0,5fc9a415aacaf14df94e6868,1,up,371,[1]
1,5fc9a415aacaf14df94e6868,1,down,599,"[2, 18]"
2,5fc9a415aacaf14df94e6868,1,down,1211,"[2, 5, 18]"
3,5fc9a415aacaf14df94e6868,1,up,2028,[1]
4,5fc9a415aacaf14df94e6868,2,up,636,[1]
5,5fc9a415aacaf14df94e6868,2,up,2087,[1]
6,60fdbe65ebde43c719f0a07c,1,down,65,[]
7,60fdbe65ebde43c719f0a07c,1,up,470,[1]
8,60fdbe65ebde43c719f0a07c,1,down,1188,"[2, 5, 18]"
9,60fdbe65ebde43c719f0a07c,1,up,2037,"[1, 7, 9]"
10,60fdbe65ebde43c719f0a07c,2,down,1007,[]
11,60fdbe65ebde43c719f0a07c,2,up,1259,[1]
12,60fdbe65ebde43c719f0a07c,2,up,1551,"[1, 7]"
13,60feed8e976bc867f41f91f8,1,up,301,[1]
14,60feed8e976bc867f41f91f8,1,up,524,[1]
15,60feed8e976bc867f41f91f8,1,up,890,[1]
16,60feed8e976bc867f41f91f8,1,up,1249,"[2, 1]"
17,60feed8e976bc867f41f91f8,1,up,1463,[1]
18,60feed8e976bc867f41f91f8,1,up,1786,"[3, 1]"
19,60feed8e976bc867f41f91f8,1,down,2274,[12]
20,60feed8e976bc867f41f91f8,1,down,2497,"[5, 12]"
21,60feed8e976bc867f41f91f8,1,up,2914,[]
22,60feed8e976bc867f41f91f8,2,up,186,[1]
23,60feed8e976bc867f41f91f8,2,up,721,[1]
24,60feed8e976bc867f41f91f8,2,down,1037,[5]
25,60feed8e976bc867f41f91f8,2,up,1165,[1]
26,60feed8e976bc867f41f91f8,2,up,1397,[1]
27,60feed8e976bc867f41f91f8,2,down,1813,"[5, 12]"
28,60feed8e976bc867f41f91f8,2,up,1971,[1]
29,60feed8e976bc867f41f91f8,2,up,2146,[1]
30,60feed8e976bc867f41f91f8,2,up,2274,[1]
31,61017fa8773be3bcfb745b82,1,up,152,[1]
32,61017fa8773be3bcfb745b82,1,up,841,"[2, 1]"
33,61017fa8773be3bcfb745b82,1,up,1327,[1]
34,61017fa8773be3bcfb745b82,1,up,1945,[1]
35,61017fa8773be3bcfb745b82,1,down,2248,"[2, 14, 18]"
36,61017fa8773be3bcfb745b82,1,down,2359,"[14, 18]"
37,61017fa8773be3bcfb745b82,1,up,2460,"[3, 1, 8]"
38,61017fa8773be3bcfb745b82,1,up,2650,"[3, 1]"
39,61017fa8773be3bcfb745b82,2,up,207,[1]
40,61017fa8773be3bcfb745b82,2,up,682,[1]
41,61017fa8773be3bcfb745b82,2,up,1202,[1]
42,61017fa8773be3bcfb745b82,2,up,1481,[1]
43,61017fa8773be3bcfb745b82,2,up,2067,"[1, 7]"
44,61017fa8773be3bcfb745b82,2,up,2504,"[8, 9]"
45,6107f6bdc8e5d4c5b8daf4c1,1,up,480,[1]
46,6107f6bdc8e5d4c5b8daf4c1,1,up,678,[2]
47,6107f6bdc8e5d4c5b8daf4c1,1,up,1255,"[2, 1]"
48,6107f6bdc8e5d4c5b8daf4c1,1,up,1638,"[1, 8]"
49,6107f6bdc8e5d4c5b8daf4c1,2,up,70,[1]
50,6107f6bdc8e5d4c5b8daf4c1,2,up,392,[1]
51,6107f6bdc8e5d4c5b8daf4c1,2,up,697,[1]
52,6107f6bdc8e5d4c5b8daf4c1,2,up,991,[1]
53,6107f6bdc8e5d4c5b8daf4c1,2,up,1348,[1]
54,6107f6bdc8e5d4c5b8daf4c1,2,up,1685,[1]
55,6107f6bdc8e5d4c5b8daf4c1,2,up,2359,[1]
56,6107f8f9c8d6e8a294ff1dd6,1,down,2347,"[5, 14, 18]"
57,6107f8f9c8d6e8a294ff1dd6,1,up,3099,[1]
58,6107f8f9c8d6e8a294ff1dd6,2,up,48,[1]
59,6107f8f9c8d6e8a294ff1dd6,2,down,438,[]
60,6107f8f9c8d6e8a294ff1dd6,2,up,624,[1]
61,6107f8f9c8d6e8a294ff1dd6,2,down,930,[]
62,6107f8f9c8d6e8a294ff1dd6,2,up,1486,[1]
63,6107f8f9c8d6e8a294ff1dd6,2,up,1927,[1]
64,6107f8f9c8d6e8a294ff1dd6,2,down,2379,[12]
65,6107f8f9c8d6e8a294ff1dd6,2,up,3183,"[1, 7, 9]"
66,610837720098e4d537f6d50b,1,up,88,[1]
67,610837720098e4d537f6d50b,1,up,379,[1]
68,610837720098e4d537f6d50b,1,down,771,[2]
69,610837720098e4d537f6d50b,1,up,1453,"[3, 1]"
70,610837720098e4d537f6d50b,1,up,1782,[1]
71,610837720098e4d537f6d50b,1,up,2439,[1]
72,610837720098e4d537f6d50b,1,up,2555,[1]
73,610837720098e4d537f6d50b,1,up,2746,[1]
