AU09_r_max,AU14_r_max,AU15_r_max,AU17_r_max,AU20_r_max,AU23_r_max,AU45_r_max,AU09_r_min,AU14_r_min,AU15_r_min,AU17_r_min,AU20_r_min,AU23_r_min,AU45_r_min,AU09_r_mean,AU14_r_mean,AU15_r_mean,AU17_r_mean,AU20_r_mean,AU23_r_mean,AU45_r_mean,AU09_r_sd,AU14_r_sd,AU15_r_sd,AU17_r_sd,AU20_r_sd,AU23_r_sd,AU45_r_sd,type
2.66,0.73,0.0,0.94,0.28,1.62,0.0,1.31,0.0,0.0,0.26,0.0,0.23,0.0,1.7279999999999998,0.36977777777777787,0.0,0.6391111111111111,0.006222222222222223,1.3264444444444443,0.0,0.2629863459988335,0.18034674794669708,0.0,0.11791411015538968,0.04173993557999607,0.20894927130717153,0.0,signal
2.36,0.87,0.0,1.09,0.0,1.66,0.0,1.08,0.0,0.0,0.43,0.0,0.89,0.0,1.826888888888889,0.21022222222222225,0.0,0.7317777777777777,0.0,1.2922222222222222,0.0,0.2892295582642572,0.24348314192986836,0.0,0.16408546676668354,0.0,0.1692347601422475,0.0,signal
2.52,1.27,0.0,1.72,1.27,1.56,0.88,1.41,0.0,0.0,0.09,0.0,0.03,0.0,1.9535555555555557,0.13555555555555557,0.0,0.7368888888888888,0.02822222222222222,1.304,0.019555555555555555,0.3456821684960935,0.2575986620832312,0.0,0.21477072576695513,0.1893204220949822,0.23625294610957664,0.13118265467998766,signal
2.76,0.54,0.0,0.99,0.67,1.64,0.0,1.69,0.0,0.0,0.4,0.0,0.15,0.0,2.2415555555555553,0.03066666666666667,0.0,0.6531111111111112,0.023333333333333334,1.155111111111111,0.0,0.2445492658634317,0.09606815762306943,0.0,0.1389051707628138,0.11369816501277728,0.25031454959185606,0.0,signal
2.24,0.87,0.0,1.05,0.0,1.58,0.0,1.34,0.0,0.0,0.53,0.0,0.67,0.0,1.719777777777778,0.21688888888888888,0.0,0.7819999999999999,0.0,1.3199999999999998,0.0,0.22824915502072898,0.21228007038539506,0.0,0.15551381113761392,0.0,0.22383029285599393,0.0,signal
0.9,1.37,0.0,1.16,0.0,1.4,0.0,0.28,0.61,0.0,0.42,0.0,0.0,0.0,0.5826666666666667,0.8997777777777777,0.0,0.7937777777777779,0.0,0.7004444444444444,0.0,0.1412830814036454,0.15827893802468546,0.0,0.15564074146585272,0.0,0.36100840808362167,0.0,signal
1.36,1.39,0.17,1.28,0.09,1.21,0.0,0.0,0.21,0.0,0.36,0.0,0.0,0.0,0.6995555555555556,0.8448888888888888,0.003777777777777778,0.7393333333333334,0.002,0.5182222222222223,0.0,0.38402743483645896,0.22283934512866832,0.025342103744997624,0.17453053913544497,0.01341640786499874,0.37921742916941276,0.0,signal
1.27,1.58,0.0,1.42,0.0,1.13,0.0,0.49,0.89,0.0,0.51,0.0,0.0,0.0,0.8540000000000001,1.2708,0.0,0.9676,0.0,0.7232,0.0,0.20295730257043396,0.18268643445350105,0.0,0.22143998434489343,0.0,0.27393308185272797,0.0,signal
2.58,1.88,0.0,1.82,1.23,1.55,0.38,1.26,0.0,0.0,0.74,0.0,0.16,0.0,1.741111111111111,0.6433333333333332,0.0,1.2115555555555557,0.027333333333333334,1.0795555555555556,0.008444444444444445,0.2552647664878586,0.39110565882333687,0.0,0.2763557946787533,0.18335757415498272,0.3593552025728327,0.05664705542999467,signal
2.26,2.13,0.0,1.14,0.77,1.38,0.0,1.45,0.58,0.0,0.34,0.0,0.08,0.0,1.8675555555555556,1.046,0.0,0.6891111111111111,0.01711111111111111,0.9355555555555556,0.0,0.18206087338075033,0.2387410160137397,0.0,0.19482885522499696,0.11478482284498923,0.33664491378869515,0.0,signal
