AU09_r_max,AU14_r_max,AU15_r_max,AU17_r_max,AU20_r_max,AU23_r_max,AU09_r_min,AU14_r_min,AU15_r_min,AU17_r_min,AU20_r_min,AU23_r_min,AU09_r_mean,AU14_r_mean,AU15_r_mean,AU17_r_mean,AU20_r_mean,AU23_r_mean,AU09_r_sd,AU14_r_sd,AU15_r_sd,AU17_r_sd,AU20_r_sd,AU23_r_sd,type
1.84,1.5,0.0,0.86,0.26,1.24,1.21,0.9,0.0,0.39,0.0,0.24,1.5539130434782609,1.2313043478260872,0.0,0.6156521739130435,0.011304347826086957,0.7856521739130435,0.1555266457858817,0.14979696403726817,0.0,0.12734441797940668,0.054213747654839425,0.30786399132433495,signal
1.2,2.13,2.73,4.75,1.26,1.68,0.22,0.26,0.0,0.38,0.0,0.0,0.7752173913043477,1.5426086956521738,0.3126086956521739,1.2108695652173913,0.21304347826086958,0.7073913043478263,0.2817134192630613,0.483051073822374,0.812690354715879,1.151149279646919,0.4002435029579856,0.3816378267808886,signal
0.0,0.4,0.78,0.03,0.96,0.75,0.0,0.0,0.33,0.0,0.34,0.25,0.0,0.15956521739130433,0.5882608695652175,0.002173913043478261,0.6982608695652174,0.477391304347826,0.0,0.1205848724444762,0.11876838322447157,0.007358681786057778,0.1804955847839005,0.12649891811626288,signal
0.0,0.07,0.59,0.0,0.79,0.57,0.0,0.0,0.24,0.0,0.11,0.22,0.0,0.008695652173913044,0.4369565217391304,0.0,0.45956521739130435,0.3886956521739131,0.0,0.020955439264845034,0.08823701463098205,0.0,0.14800117508346666,0.10502399499967471,signal
0.0,0.15,0.64,0.12,0.72,0.68,0.0,0.0,0.31,0.0,0.33,0.24,0.0,0.014782608695652172,0.48304347826086963,0.008695652173913044,0.523913043478261,0.3769565217391304,0.0,0.03715686223387537,0.067516649974028,0.028333139579280173,0.12808871678484773,0.11319471488660976,signal
0.0,0.0,0.73,0.0,0.71,0.5,0.0,0.0,0.38,0.0,0.13,0.0,0.0,0.0,0.5795652173913044,0.0,0.4086956521739131,0.2730434782608695,0.0,0.0,0.08818772646357445,0.0,0.12718291579904215,0.11494800336787442,signal
0.0,0.0,0.86,0.27,0.71,0.58,0.0,0.0,0.5,0.0,0.1,0.03,0.0,0.0,0.6943478260869564,0.04,0.3982608695652175,0.28217391304347833,0.0,0.0,0.09375141632658732,0.06487750695804294,0.1483745927133276,0.13731041547394887,signal
0.0,0.28,0.81,0.46,0.58,0.79,0.0,0.0,0.48,0.0,0.13,0.26,0.0,0.041739130434782605,0.6391304347826088,0.12391304347826088,0.37391304347826093,0.5573913043478259,0.0,0.08515505504202017,0.09462428303935234,0.12673304550169376,0.1347974618871783,0.15763067858142182,signal
0.0,0.11,0.78,0.22,1.0,0.84,0.0,0.0,0.37,0.0,0.18,0.27,0.0,0.009130434782608696,0.5630434782608695,0.05434782608695652,0.4034782608695653,0.6,0.0,0.026442569583268717,0.09177218743906991,0.07572834745784206,0.19080234169642138,0.1304885923261981,signal
0.0,0.0,0.7,0.19,0.54,0.58,0.0,0.0,0.43,0.0,0.08,0.24,0.0,0.0,0.5647826086956521,0.019130434782608695,0.3160869565217391,0.4178260869565218,0.0,0.0,0.07210280319966077,0.046895729935315086,0.13610621288453642,0.07476973875835126,signal
0.0,0.0,0.82,0.22,0.89,0.63,0.0,0.0,0.5,0.0,0.04,0.2,0.0,0.0,0.6460869565217393,0.027391304347826086,0.41608695652173905,0.4426086956521739,0.0,0.0,0.08804643043896486,0.055939690845210326,0.2177934620112864,0.11242037146775763,signal
0.0,0.0,0.73,0.1,0.65,0.62,0.0,0.0,0.39,0.0,0.14,0.28,0.0,0.0,0.5908695652173914,0.013043478260869568,0.3886956521739131,0.46695652173913044,0.0,0.0,0.08727766784434507,0.025304470070198995,0.1578924935698075,0.10614889981910469,signal
0.13,0.0,1.42,0.0,1.32,0.07,0.0,0.0,0.98,0.0,0.84,0.0,0.013043478260869568,0.0,1.179565217391304,0.0,1.0382608695652176,0.003913043478260869,0.03534695339947286,0.0,0.10923195756444026,0.0,0.12108044560663128,0.014690482520320496,signal
0.15,0.0,1.33,0.0,1.03,0.05,0.0,0.0,1.01,0.0,0.47,0.0,0.020869565217391306,0.0,1.1847826086956526,0.0,0.6956521739130435,0.002173913043478261,0.04347549398310615,0.0,0.100583279164237,0.0,0.1489913385815834,0.010425720702853736,signal
0.4,0.0,1.16,0.0,1.12,0.0,0.05,0.0,0.99,0.0,0.5,0.0,0.23347826086956527,0.0,1.0686956521739133,0.0,0.8926086956521742,0.0,0.08911732285701575,0.0,0.04277896125073283,0.0,0.147377603803179,0.0,signal
0.41,0.0,1.46,0.0,1.27,0.0,0.06,0.0,0.98,0.0,0.5,0.0,0.2756521739130435,0.0,1.2152173913043478,0.0,0.8465217391304349,0.0,0.08234219546593469,0.0,0.1319734672100071,0.0,0.17460627645836826,0.0,signal
0.44,0.0,1.4,0.0,1.27,0.0,0.05,0.0,1.13,0.0,0.85,0.0,0.2960869565217391,0.0,1.2447826086956522,0.0,1.0895652173913042,0.0,0.09403766800571231,0.0,0.07372365879154842,0.0,0.1246988467129568,0.0,signal
0.44,0.0,1.36,0.0,1.58,0.0,0.0,0.0,0.88,0.0,0.65,0.0,0.23913043478260865,0.0,1.1365217391304347,0.0,1.0926086956521741,0.0,0.1191604359096005,0.0,0.1171094552370937,0.0,0.220993981639656,0.0,signal
0.0,0.0,0.0,0.0,0.28,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.01625,0.0,0.0,0.0,0.0,0.10488088481701516,0.022638462845343543,signal
0.0,0.1,0.0,0.0,0.24,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.05565217391304348,0.01608695652173913,0.0,0.026096506815744318,0.0,0.0,0.08820565262017054,0.02980834697542141,signal
0.0,0.0,0.0,0.1,0.68,0.1,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.017391304347826087,0.3947826086956522,0.02130434782608696,0.0,0.0,0.0,0.03466952962739732,0.1617481084677202,0.03180971089950177,signal
0.0,0.03,0.0,0.01,0.64,0.13,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0013043478260869564,0.0,0.0004347826086956522,0.41086956521739126,0.014782608695652172,0.0,0.0062554324217122415,0.0,0.0020851441405707475,0.12029936308598346,0.033421490802039794,signal
0.0,0.0,0.51,0.39,0.0,0.02,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.34913043478260875,0.09434782608695652,0.0,0.0008695652173913044,0.0,0.0,0.07464540681711956,0.10369650151705925,0.0,0.004170288281141495,signal
0.0,0.0,0.46,0.18,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.2539130434782609,0.021304347826086957,0.0,0.012608695652173915,0.0,0.0,0.08294242967454116,0.04722329431214747,0.0,0.03107430849144264,signal
0.0,0.0,0.41,0.41,0.0,0.1,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.28695652173913044,0.2104347826086957,0.0,0.025652173913043478,0.0,0.0,0.07660018885620534,0.12437035092707313,0.0,0.03678266476042037,signal
0.0,0.6,0.43,0.48,0.07,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0782608695652174,0.1456521739130435,0.22565217391304354,0.0052173913043478265,0.1265217391304348,0.0,0.18200030404352832,0.12587244939932868,0.1511418986177776,0.017547225944288772,0.08249565804839637,signal
0.0,0.0,0.29,1.13,0.0,0.6,0.0,0.0,0.0,0.23,0.0,0.19,0.0,0.0,0.05,0.7100000000000001,0.0,0.34260869565217394,0.0,0.0,0.08431542509583231,0.24652125115844936,0.0,0.11414573584614411,signal
0.85,1.38,0.08,1.05,0.89,0.87,0.4,0.51,0.0,0.56,0.0,0.45,0.6208695652173913,0.9339130434782608,0.014347826086956523,0.8147826086956521,0.4208695652173913,0.6452173913043479,0.1330725380957954,0.24809710581351702,0.02920555472641241,0.14656272517617566,0.2168349402295392,0.1032151136403699,signal
