AU01_r_max,AU02_r_max,AU04_r_max,AU05_r_max,AU06_r_max,AU07_r_max,AU09_r_max,AU10_r_max,AU12_r_max,AU14_r_max,AU15_r_max,AU17_r_max,AU20_r_max,AU23_r_max,AU25_r_max,AU26_r_max,AU45_r_max,AU01_r_min,AU02_r_min,AU04_r_min,AU05_r_min,AU06_r_min,AU07_r_min,AU09_r_min,AU10_r_min,AU12_r_min,AU14_r_min,AU15_r_min,AU17_r_min,AU20_r_min,AU23_r_min,AU25_r_min,AU26_r_min,AU45_r_min,AU01_r_mean,AU02_r_mean,AU04_r_mean,AU05_r_mean,AU06_r_mean,AU07_r_mean,AU09_r_mean,AU10_r_mean,AU12_r_mean,AU14_r_mean,AU15_r_mean,AU17_r_mean,AU20_r_mean,AU23_r_mean,AU25_r_mean,AU26_r_mean,AU45_r_mean,AU01_r_sd,AU02_r_sd,AU04_r_sd,AU05_r_sd,AU06_r_sd,AU07_r_sd,AU09_r_sd,AU10_r_sd,AU12_r_sd,AU14_r_sd,AU15_r_sd,AU17_r_sd,AU20_r_sd,AU23_r_sd,AU25_r_sd,AU26_r_sd,AU45_r_sd,type
1.6,1.31,0.85,0.95,0.7,0.89,1.98,1.08,0.07,1.54,0.0,1.09,0.47,1.36,1.35,0.0,0.0,0.0,0.0,0.0,0.06,0.12,0.09,1.21,0.0,0.0,0.89,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.8448275862068965,0.4289655172413794,0.42068965517241386,0.526896551724138,0.40068965517241384,0.4858620689655172,1.6206896551724137,0.3217241379310345,0.002413793103448276,1.250344827586207,0.0,0.6862068965517241,0.03103448275862069,0.8951724137931035,0.1789655172413793,0.0,0.0,0.47605987535824573,0.40435437805740054,0.21797658842969414,0.2594238595739724,0.1495452878008808,0.20819834707350088,0.19294579243335158,0.3066182941788098,0.012998673672393634,0.1724297529559023,0.0,0.14341283547615377,0.10167682793980874,0.3460348938810236,0.32955971524342903,0.0,0.0,up
0.92,0.63,1.42,3.44,0.99,1.66,1.2,2.19,1.05,2.13,2.73,4.75,1.06,1.68,0.77,1.09,1.01,0.0,0.0,0.0,0.14,0.0,0.0,0.22,0.0,0.0,0.44,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.41333333333333333,0.10285714285714287,0.7866666666666666,0.8223809523809523,0.3123809523809524,0.27380952380952384,0.7671428571428572,0.45000000000000007,0.27285714285714285,1.5647619047619048,0.27380952380952384,1.081904761904762,0.17333333333333334,0.7504761904761905,0.16476190476190475,0.479047619047619,0.13333333333333333,0.28620505469563834,0.17771164444523205,0.41022351630950327,0.8751394446709894,0.36901090447173457,0.5458340058156527,0.29058807369096995,0.6478271374371407,0.3645701970422549,0.38440368166315797,0.8102436435448056,1.1833073102437044,0.3427584183259885,0.3996558042925961,0.26863765647464705,0.3306040647346122,0.33532571230571234,up
1.2,0.0,1.67,0.87,0.0,0.0,0.0,0.18,0.0,0.52,0.76,0.16,1.18,0.75,0.0,0.0,0.0,0.61,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.32,0.23,0.0,0.0,0.0,0.8961290322580644,0.0,1.0638709677419353,0.4364516129032257,0.0,0.0,0.0,0.013225806451612905,0.0,0.18258064516129036,0.5129032258064516,0.01032258064516129,0.7335483870967742,0.4622580645161291,0.0,0.0,0.0,0.15656047648017338,0.0,0.21584990802800663,0.27784346176815433,0.0,0.0,0.0,0.03893473999521024,0.0,0.16062311460756998,0.11045945103331196,0.03167374001363927,0.2135189045041332,0.12737633682437133,0.0,0.0,0.0,up
1.23,0.0,1.96,0.89,0.0,0.0,0.0,0.0,0.0,0.07,0.59,0.0,0.85,0.57,0.0,0.0,0.0,0.62,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.27,0.13,0.0,0.0,0.0,0.9932258064516128,0.0,1.5758064516129031,0.4025806451612902,0.0,0.0,0.0,0.0,0.0,0.0064516129032258064,0.43999999999999995,0.0,0.5138709677419355,0.37741935483870964,0.0,0.0,0.0,0.14572547470670535,0.0,0.21955673820295876,0.25705988591422924,0.0,0.0,0.0,0.0,0.0,0.0183572668802256,0.09018499505645788,0.0,0.1528109380761041,0.11969315608213874,0.0,0.0,0.0,up
1.34,0.0,2.12,0.78,0.0,0.0,0.0,0.0,0.01,0.15,0.65,0.1,0.73,0.53,0.0,0.0,2.41,0.41,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.33,0.18,0.0,0.0,0.0,0.8538709677419355,0.0,1.7164516129032257,0.21838709677419357,0.0,0.0,0.0,0.0,0.0003225806451612903,0.013870967741935481,0.47580645161290325,0.005806451612903225,0.5006451612903225,0.37483870967741933,0.0,0.0,0.10838709677419356,0.2167591200596466,0.0,0.16104964839238808,0.2445008080994628,0.0,0.0,0.0,0.0,0.0017960530202677492,0.03313381146752652,0.08377645626102787,0.021567598158408384,0.12664742355244785,0.09161044219017594,0.0,0.0,0.44815247981160417,up
1.24,0.0,1.69,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.66,0.47,0.0,0.0,0.0,0.75,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.25,0.0,0.0,0.0,0.0,0.9990909090909089,0.0,1.3281818181818184,0.41727272727272735,0.0,0.0,0.0,0.0,0.0,0.0,0.5754545454545454,0.0,0.4122727272727273,0.27954545454545454,0.0,0.0,0.0,0.12340059006222631,0.0,0.20675811410659983,0.2066094041602315,0.0,0.0,0.0,0.0,0.0,0.0,0.09292737936419941,0.0,0.1162481671409763,0.09712423427300153,0.0,0.0,0.0,up
1.3,0.16,1.71,1.14,0.0,0.0,0.0,0.08,0.0,0.0,1.11,0.27,0.63,0.53,0.0,0.0,0.0,0.74,0.0,0.72,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.09,0.04,0.0,0.0,0.0,0.9767741935483872,0.02,1.1309677419354838,0.7729032258064515,0.0,0.0,0.0,0.0025806451612903226,0.0,0.0,0.7293548387096774,0.034193548387096775,0.3554838709677419,0.29709677419354835,0.0,0.0,0.0,0.14747626016355295,0.04219004621945797,0.2413207386958924,0.23810632846674606,0.0,0.0,0.0,0.014368424162141994,0.0,0.0,0.121708270983555,0.07055844827981915,0.1402340593359882,0.13279542031227576,0.0,0.0,0.0,up
1.13,0.13,1.6,1.22,0.0,0.0,0.0,0.23,0.0,0.28,0.83,0.46,0.79,0.79,0.0,0.0,0.0,0.65,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.13,0.23,0.0,0.0,0.0,0.9074193548387096,0.004193548387096774,1.2661290322580643,0.5116129032258065,0.0,0.0,0.0,0.02258064516129032,0.0,0.032903225806451615,0.667741935483871,0.09032258064516129,0.38838709677419353,0.5161290322580645,0.0,0.0,0.0,0.13109710756879125,0.02334868926348074,0.1934369392395506,0.2894027962798972,0.0,0.0,0.0,0.05477029255204466,0.0,0.07866356837346823,0.08647580306726867,0.11040784606683657,0.15998118168904635,0.14559481262176066,0.0,0.0,0.0,up
1.15,0.1,1.5,1.07,0.0,0.0,0.0,0.12,0.0,0.11,0.66,0.22,1.0,0.84,0.0,0.0,0.0,0.61,0.0,0.91,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.12,0.22,0.0,0.0,0.0,0.8706451612903227,0.0032258064516129032,1.195483870967742,0.5567741935483872,0.0,0.0,0.0,0.01064516129032258,0.0,0.0067741935483870966,0.5390322580645162,0.04967741935483871,0.43967741935483867,0.543225806451613,0.0,0.0,0.0,0.1319579600698891,0.01796053020267749,0.13908843013654826,0.24075419133456696,0.0,0.0,0.0,0.031298081290601805,0.0,0.02300537571586165,0.057524188460720736,0.07120317740886481,0.18168624734172448,0.16044494583863117,0.0,0.0,0.0,up
1.14,0.01,1.8,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.19,0.65,0.64,0.0,0.0,2.44,0.71,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.1,0.24,0.0,0.0,0.0,0.9577419354838711,0.0003225806451612903,1.4148387096774195,0.5074193548387096,0.0,0.0,0.0,0.0,0.0,0.0,0.6003225806451614,0.024516129032258065,0.3341935483870968,0.42999999999999994,0.0,0.0,0.14806451612903226,0.11444677590971722,0.0017960530202677492,0.15834289727764733,0.3718150771726494,0.0,0.0,0.0,0.0,0.0,0.0,0.07485469795845558,0.04998924615537621,0.15456981580175755,0.09327379053088816,0.0,0.0,0.4768886617428902,up
